17/6/2021:21:23:32 | ::1 | POST | /product | 200 | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2021-07-15T02:58:31.000Z"}
17/6/2021:21:23:42 | ::1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiZ3VzdGlhbmE4ODJAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNjUzMTgyMywiZXhwIjoxNjI2NjE4MjIzfQ.VH2--aU0I5HmDQUx9ts50K2QMurkdHpqMGqpSsrM-KE"}
17/6/2021:21:45:49 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
17/6/2021:21:46:44 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
17/6/2021:21:47:03 | ::1 | GET | /product | 200 | [{"id_product":"38","title":"Baju koko pria biru","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/blank.jpg","create_at":"2021-07-17T14:46:44.732Z","update_at":"2021-07-17T14:46:44.732Z"},{"id_product":"37","title":"Baju koko pria biru","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/blank.jpg","create_at":"2021-07-17T14:45:49.419Z","update_at":"2021-07-17T14:45:49.419Z"},{"id_product":"36","title":"Baju koko pria xl","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-14T02:56:24.095Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","create_at":"2021-07-14T02:55:37.450Z","update_at":"2021-07-14T02:56:24.173Z"},{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
17/6/2021:21:48:56 | ::1 | DELETE | /product/37 | 200 | {"message":"Data deleted successfully"}
17/6/2021:21:49:00 | ::1 | DELETE | /product/38 | 200 | {"message":"Data deleted successfully"}
17/6/2021:21:49:03 | ::1 | GET | /product | 200 | [{"id_product":"36","title":"Baju koko pria xl","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-14T02:56:24.095Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","create_at":"2021-07-14T02:55:37.450Z","update_at":"2021-07-14T02:56:24.173Z"},{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
17/6/2021:21:49:12 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
17/6/2021:21:49:16 | ::1 | GET | /product | 200 | [{"id_product":"39","title":"Baju koko pria biru","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/blank.jpg","create_at":"2021-07-17T14:49:12.154Z","update_at":"2021-07-17T14:49:12.154Z"},{"id_product":"36","title":"Baju koko pria xl","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-14T02:56:24.095Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","create_at":"2021-07-14T02:55:37.450Z","update_at":"2021-07-14T02:56:24.173Z"},{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
17/6/2021:21:49:45 | ::1 | DELETE | /product/39 | 200 | {"message":"Data deleted successfully"}
