2/7/2021:4:46:50 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:46:58 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:47:55 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:51:09 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:52:05 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:54:49 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:55:14 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:55:57 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:4:59:58 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:1:09 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:2:33 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:3:16 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:7:20 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:21:23 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:23:52 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:24:15 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:27:15 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:28:11 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:28:45 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:30:41 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:31:55 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:37:58 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:38:05 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:40:20 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
