21/6/2021:8:45:10 | ::1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2ODMxOTEwLCJleHAiOjE2MjY5MTgzMTB9.IOZwX8qT2EeUcGVIoHnuBIh1GA4jsnonp3FOae3LwjA"}
21/6/2021:8:45:40 | ::1 | GET | /product | 200 | [{"id":27,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:53:50.612Z","updatedAt":"2021-07-20T10:53:50.612Z"},{"id":26,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:51:20.329Z","updatedAt":"2021-07-20T10:51:20.329Z"},{"id":25,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:48:35.764Z","updatedAt":"2021-07-20T10:48:35.764Z"},{"id":24,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:45:45.794Z","updatedAt":"2021-07-20T10:45:45.794Z"},{"id":23,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:15:16.775Z","updatedAt":"2021-07-20T10:15:16.775Z"},{"id":22,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:31.020Z","updatedAt":"2021-07-20T10:14:31.020Z"},{"id":21,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:12.248Z","updatedAt":"2021-07-20T10:14:12.248Z"},{"id":20,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:59.050Z","updatedAt":"2021-07-20T10:12:59.050Z"},{"id":19,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:21.432Z","updatedAt":"2021-07-20T10:12:21.432Z"},{"id":18,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:08:47.259Z","updatedAt":"2021-07-20T10:08:47.259Z"},{"id":6,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:04:55.855Z","updatedAt":"2021-07-20T05:04:55.855Z"},{"id":5,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:53.933Z","updatedAt":"2021-07-20T05:03:53.933Z"},{"id":1,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T04:56:37.499Z","updatedAt":"2021-07-20T05:03:19.535Z"},{"id":4,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:19.488Z","updatedAt":"2021-07-20T05:03:19.488Z"}]
21/6/2021:8:46:31 | ::1 | POST | /product | 200 | {"message":"category not found"}
21/6/2021:8:46:40 | ::1 | GET | /product/category | 200 | [{"id":32,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:53:51.609Z","updatedAt":"2021-07-20T10:53:51.609Z"},{"id":31,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:51:21.314Z","updatedAt":"2021-07-20T10:51:21.314Z"},{"id":30,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:48:36.619Z","updatedAt":"2021-07-20T10:48:36.619Z"},{"id":29,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:45:46.278Z","updatedAt":"2021-07-20T10:45:46.278Z"},{"id":28,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:15:17.391Z","updatedAt":"2021-07-20T10:15:17.391Z"},{"id":27,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:31.672Z","updatedAt":"2021-07-20T10:14:31.672Z"},{"id":26,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:13.062Z","updatedAt":"2021-07-20T10:14:13.062Z"},{"id":25,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:59.787Z","updatedAt":"2021-07-20T10:12:59.787Z"},{"id":24,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:21.980Z","updatedAt":"2021-07-20T10:12:21.980Z"},{"id":23,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:08:47.807Z","updatedAt":"2021-07-20T10:08:47.807Z"},{"id":22,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:08:01.495Z","updatedAt":"2021-07-20T10:08:01.495Z"},{"id":21,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T10:07:35.025Z","updatedAt":"2021-07-20T10:07:35.025Z"},{"id":20,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T09:59:17.998Z","updatedAt":"2021-07-20T09:59:17.998Z"},{"id":19,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T09:57:37.361Z","updatedAt":"2021-07-20T09:57:37.361Z"},{"id":18,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T06:10:23.128Z","updatedAt":"2021-07-20T06:10:23.128Z"},{"id":2,"name":"shose","image":"public/images/blank.jpg","createdAt":"2021-07-20T04:51:02.867Z","updatedAt":"2021-07-20T04:51:02.867Z"}]
21/6/2021:8:47:00 | ::1 | POST | /product | 200 | {"name":"SequelizeValidationError","errors":[{"message":"products.brand cannot be null","type":"notNull Violation","path":"brand","value":null,"origin":"CORE","instance":{"id":null,"title":"NIKE","category_id":"2","price":"100000","review":"21","star":"4","image":"public/images/blank.jpg","updatedAt":"2021-07-21T01:47:00.914Z","createdAt":"2021-07-21T01:47:00.914Z"},"validatorKey":"is_null","validatorName":null,"validatorArgs":[]}]}
21/6/2021:8:47:23 | ::1 | POST | /product | 200 | {"message":"add product is success"}
21/6/2021:8:47:46 | ::1 | GET | /product | 200 | [{"id":28,"title":"NIKE","category_id":2,"price":100000,"brand":"Muslim store","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-21T01:47:23.857Z","updatedAt":"2021-07-21T01:47:23.857Z"},{"id":27,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:53:50.612Z","updatedAt":"2021-07-20T10:53:50.612Z"},{"id":26,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:51:20.329Z","updatedAt":"2021-07-20T10:51:20.329Z"},{"id":25,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:48:35.764Z","updatedAt":"2021-07-20T10:48:35.764Z"},{"id":24,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:45:45.794Z","updatedAt":"2021-07-20T10:45:45.794Z"},{"id":23,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:15:16.775Z","updatedAt":"2021-07-20T10:15:16.775Z"},{"id":22,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:31.020Z","updatedAt":"2021-07-20T10:14:31.020Z"},{"id":21,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:12.248Z","updatedAt":"2021-07-20T10:14:12.248Z"},{"id":20,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:59.050Z","updatedAt":"2021-07-20T10:12:59.050Z"},{"id":19,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:21.432Z","updatedAt":"2021-07-20T10:12:21.432Z"},{"id":18,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:08:47.259Z","updatedAt":"2021-07-20T10:08:47.259Z"},{"id":6,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:04:55.855Z","updatedAt":"2021-07-20T05:04:55.855Z"},{"id":5,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:53.933Z","updatedAt":"2021-07-20T05:03:53.933Z"},{"id":1,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T04:56:37.499Z","updatedAt":"2021-07-20T05:03:19.535Z"},{"id":4,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:19.488Z","updatedAt":"2021-07-20T05:03:19.488Z"}]
21/6/2021:8:48:01 | ::1 | PUT | /product | 200 | {"message":"id not found!"}
21/6/2021:8:48:13 | ::1 | PUT | /product | 200 | {"name":"SequelizeForeignKeyConstraintError","parent":{"length":271,"name":"error","severity":"ERROR","code":"23503","detail":"Key (category_id)=(3) is not present in table \"categories\".","schema":"public","table":"products","constraint":"products_category_id_fkey","file":"ri_triggers.c","line":"2476","routine":"ri_ReportViolation","sql":"UPDATE \"products\" SET \"title\"=$1,\"category_id\"=$2,\"price\"=$3,\"brand\"=$4,\"review\"=$5,\"star\"=$6,\"image\"=$7,\"updatedAt\"=$8 WHERE \"id\" = $9","parameters":["Baju koko pria xl","3","100000","Nike store","21","4","public/images/product/2021-07-21T01:48:13.325Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","2021-07-21 01:48:13.382 +00:00","28"]},"original":{"length":271,"name":"error","severity":"ERROR","code":"23503","detail":"Key (category_id)=(3) is not present in table \"categories\".","schema":"public","table":"products","constraint":"products_category_id_fkey","file":"ri_triggers.c","line":"2476","routine":"ri_ReportViolation","sql":"UPDATE \"products\" SET \"title\"=$1,\"category_id\"=$2,\"price\"=$3,\"brand\"=$4,\"review\"=$5,\"star\"=$6,\"image\"=$7,\"updatedAt\"=$8 WHERE \"id\" = $9","parameters":["Baju koko pria xl","3","100000","Nike store","21","4","public/images/product/2021-07-21T01:48:13.325Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","2021-07-21 01:48:13.382 +00:00","28"]},"sql":"UPDATE \"products\" SET \"title\"=$1,\"category_id\"=$2,\"price\"=$3,\"brand\"=$4,\"review\"=$5,\"star\"=$6,\"image\"=$7,\"updatedAt\"=$8 WHERE \"id\" = $9","parameters":["Baju koko pria xl","3","100000","Nike store","21","4","public/images/product/2021-07-21T01:48:13.325Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","2021-07-21 01:48:13.382 +00:00","28"],"fields":null,"table":"products","index":"products_category_id_fkey"}
21/6/2021:8:48:33 | ::1 | PUT | /product | 200 | {"message":"data updated"}
21/6/2021:8:48:38 | ::1 | GET | /product | 200 | [{"id":28,"title":"Baju koko pria xl","category_id":2,"price":100000,"brand":"Nike store","review":21,"star":4,"image":"public/images/product/2021-07-21T01:48:33.740Z-f2c747c5-1f63-4476-b1b9-d8aa8ace2ac2 2.png","createdAt":"2021-07-21T01:47:23.857Z","updatedAt":"2021-07-21T01:48:33.765Z"},{"id":27,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:53:50.612Z","updatedAt":"2021-07-20T10:53:50.612Z"},{"id":26,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:51:20.329Z","updatedAt":"2021-07-20T10:51:20.329Z"},{"id":25,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:48:35.764Z","updatedAt":"2021-07-20T10:48:35.764Z"},{"id":24,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:45:45.794Z","updatedAt":"2021-07-20T10:45:45.794Z"},{"id":23,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:15:16.775Z","updatedAt":"2021-07-20T10:15:16.775Z"},{"id":22,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:31.020Z","updatedAt":"2021-07-20T10:14:31.020Z"},{"id":21,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:14:12.248Z","updatedAt":"2021-07-20T10:14:12.248Z"},{"id":20,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:59.050Z","updatedAt":"2021-07-20T10:12:59.050Z"},{"id":19,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:12:21.432Z","updatedAt":"2021-07-20T10:12:21.432Z"},{"id":18,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T10:08:47.259Z","updatedAt":"2021-07-20T10:08:47.259Z"},{"id":6,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:04:55.855Z","updatedAt":"2021-07-20T05:04:55.855Z"},{"id":5,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:53.933Z","updatedAt":"2021-07-20T05:03:53.933Z"},{"id":1,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T04:56:37.499Z","updatedAt":"2021-07-20T05:03:19.535Z"},{"id":4,"title":"baju","category_id":2,"price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T05:03:19.488Z","updatedAt":"2021-07-20T05:03:19.488Z"}]
