30/6/2021:10:59:30 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:10:59:30 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:10:59:30 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:10:59:31 | ::ffff:127.0.0.1 | GET | /product/category | 200 | []
30/6/2021:10:59:31 | ::ffff:127.0.0.1 | GET | /product | 200 | []
30/6/2021:10:59:32 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"register success"}
30/6/2021:10:59:32 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
30/6/2021:10:59:32 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:11:1:36 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYxNzY5NywiZXhwIjoxNjI3NzA0MDk3fQ.ltZ5SD2I5xV8F9o06uyVW1B0hCzpxLVmR2HvLz2JATw"}
30/6/2021:11:1:36 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYxNzY5NywiZXhwIjoxNjI3NzA0MDk3fQ.ltZ5SD2I5xV8F9o06uyVW1B0hCzpxLVmR2HvLz2JATw"}
30/6/2021:11:1:36 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYxNzY5NywiZXhwIjoxNjI3NzA0MDk3fQ.ltZ5SD2I5xV8F9o06uyVW1B0hCzpxLVmR2HvLz2JATw"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | GET | /bag | 200 | {"message":"empty bag, please choose one product"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | GET | /product/category | 200 | []
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | GET | /product | 200 | []
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | POST | /bag | 200 | {"name":"SequelizeForeignKeyConstraintError","parent":{"length":250,"name":"error","severity":"ERROR","code":"23503","detail":"Key (product_id)=(1) is not present in table \"products\".","schema":"public","table":"bags","constraint":"bags_product_id_fkey","file":"ri_triggers.c","line":"2476","routine":"ri_ReportViolation","sql":"INSERT INTO \"bags\" (\"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\") VALUES (DEFAULT,$1,$2,$3,$4,$5) RETURNING \"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\";","parameters":[1,3,"usertest@gmail.com","2021-07-30 04:01:37.268 +00:00","2021-07-30 04:01:37.268 +00:00"]},"original":{"length":250,"name":"error","severity":"ERROR","code":"23503","detail":"Key (product_id)=(1) is not present in table \"products\".","schema":"public","table":"bags","constraint":"bags_product_id_fkey","file":"ri_triggers.c","line":"2476","routine":"ri_ReportViolation","sql":"INSERT INTO \"bags\" (\"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\") VALUES (DEFAULT,$1,$2,$3,$4,$5) RETURNING \"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\";","parameters":[1,3,"usertest@gmail.com","2021-07-30 04:01:37.268 +00:00","2021-07-30 04:01:37.268 +00:00"]},"sql":"INSERT INTO \"bags\" (\"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\") VALUES (DEFAULT,$1,$2,$3,$4,$5) RETURNING \"id\",\"product_id\",\"qty\",\"user\",\"createdAt\",\"updatedAt\";","parameters":[1,3,"usertest@gmail.com","2021-07-30 04:01:37.268 +00:00","2021-07-30 04:01:37.268 +00:00"],"fields":null,"table":"bags","index":"bags_product_id_fkey"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"category not found"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | POST | /product/category | 200 | {"message":"add categories is success"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | PUT | /bag | 200 | {}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | PUT | /product | 200 | {"message":"id not found!"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | PUT | /product/category | 200 | {"message":"category id not found"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | DELETE | /bag/26 | 200 | {"message":"id not found!"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | DELETE | /product/32 | 200 | {"message":"id not found!"}
30/6/2021:11:1:37 | ::ffff:127.0.0.1 | DELETE | /product/category/32 | 200 | {"message":"category id not found!"}
30/6/2021:11:1:38 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
30/6/2021:11:1:38 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
30/6/2021:11:1:38 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:11:15:59 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:11:15:59 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:11:15:59 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:11:16:00 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:11:16:00 | ::ffff:127.0.0.1 | GET | /product | 200 | {"name":"SequelizeDatabaseError","parent":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"original":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"}
30/6/2021:11:16:00 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:11:16:00 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:11:16:00 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:35 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:35 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:35 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
